,staat met de rug tegen de muur_CNCPT,staat met de rug tegen de muur_CNCPT_FRMS,staat met de rug tegen de_CNCPT,staat met de rug tegen de_CNCPT_FRMS,staat met de rug tegen_CNCPT,staat met de rug tegen_CNCPT_FRMS,staat met de rug_CNCPT,staat met de rug_CNCPT_FRMS,staat met de_CNCPT,staat met de_CNCPT_FRMS,staat met_CNCPT,staat met_CNCPT_FRMS,staat_CNCPT,staat_CNCPT_FRMS
keuze_KEUZE,0,0,0,0,0,0,0,0,0,0,0,0,54,59
muur_MUUR,1,13,1,13,1,13,1,13,1,13,1,13,26,47
verf_ZSTNW,0,0,0,0,0,0,0,0,0,0,0,0,2,2
met de rug tegen de muur staan_IDIOM,12,13,12,13,12,13,12,13,12,13,12,13,12,13
