,deed iets uit de losse pols_CNCPT,deed iets uit de losse pols_CNCPT_FRMS,deed iets uit de losse_CNCPT,deed iets uit de losse_CNCPT_FRMS,deed iets uit de_CNCPT,deed iets uit de_CNCPT_FRMS,deed iets uit_CNCPT,deed iets uit_CNCPT_FRMS,deed iets_CNCPT,deed iets_CNCPT_FRMS,deed_CNCPT,deed_CNCPT_FRMS
pols_GEWRICHT,0,1,0,1,0,1,0,1,2,4,3,5
makkelijk_MAKKELIJK,0,0,0,0,0,0,0,0,1,1,7,8
hartslag_HARTSLAG,0,0,0,0,0,0,0,0,0,0,1,1
schaamte_SCHAAMTE,0,0,0,0,0,0,0,0,1,1,1,1
iets uit de losse pols doen_IDIOM,1,1,1,1,1,1,1,1,1,1,1,1
