,ligt op het puntje van de tong_CNCPT,ligt op het puntje van de tong_CNCPT_FRMS,ligt op het puntje van de_CNCPT,ligt op het puntje van de_CNCPT_FRMS,ligt op het puntje van_CNCPT,ligt op het puntje van_CNCPT_FRMS,ligt op het puntje_CNCPT,ligt op het puntje_CNCPT_FRMS,ligt op het_CNCPT,ligt op het_CNCPT_FRMS,ligt op_CNCPT,ligt op_CNCPT_FRMS,ligt_CNCPT,ligt_CNCPT_FRMS
tong_MOND,0,2,0,2,0,2,0,2,0,2,0,2,3,7
woord_WOORD,0,0,0,0,0,0,0,0,0,0,1,1,8,8
winkel_GEBOUW,0,0,0,0,0,0,0,0,0,0,4,4,59,64
op het puntje van de tong liggen_IDIOM,2,2,2,2,2,2,2,2,2,2,2,2,2,2
