,ging voor iemand door het vuur_CNCPT,ging voor iemand door het vuur_CNCPT_FRMS,ging voor iemand door het_CNCPT,ging voor iemand door het_CNCPT_FRMS,ging voor iemand door_CNCPT,ging voor iemand door_CNCPT_FRMS,ging voor iemand_CNCPT,ging voor iemand_CNCPT_FRMS,ging voor_CNCPT,ging voor_CNCPT_FRMS,ging_CNCPT,ging_CNCPT_FRMS
steun_STEUN_ZSTNW,0,0,0,0,0,0,0,0,0,0,20,26
vuur_ZSTNW,0,14,0,14,0,14,0,14,0,14,14,28
vonk_VONK,0,0,0,0,0,0,0,0,0,0,2,2
kluis_KLUIS,0,0,0,0,0,0,0,0,0,0,1,1
voor iemand door het vuur gaan_IDIOM,14,14,14,14,14,14,14,14,14,14,14,14
