,heeft geen hart in het lijf_CNCPT,heeft geen hart in het lijf_CNCPT_FRMS,heeft geen hart in het_CNCPT,heeft geen hart in het_CNCPT_FRMS,heeft geen hart in_CNCPT,heeft geen hart in_CNCPT_FRMS,heeft geen hart_CNCPT,heeft geen hart_CNCPT_FRMS,heeft geen_CNCPT,heeft geen_CNCPT_FRMS,heeft_CNCPT,heeft_CNCPT_FRMS
sleutel_SLOT,0,0,0,0,0,0,0,0,2,2,41,47
wreed_GEWELDDADIG,0,0,0,0,0,0,0,0,0,0,8,10
lichaam_MENSELIJKLICHAAM,0,0,0,0,0,0,0,0,1,1,31,38
lijf_LIJF,0,1,0,1,0,1,0,1,3,4,37,41
geen hart in het lijf hebben_IDIOM,1,1,1,1,1,1,1,1,1,1,1,1
